New Name,Feature_Description,Date,MapInfo,Province,FeatureSubTypeID,Previous_Name,MagisterialDistrictID,ProvinceID,fklLanguageID,Disteral,Local Municipality,Sound,District Municipality,fklLocalMunic,Comments,Meaning,Language
Boardwalk Villas,Township,2001-10-29 00:00:00,in the Kungwini Local Municipality,North West,130.0,,400.0,8.0,2.0,DC38,Ditsobotla,,Ngaka Modiri Molema,NW384,,,
Bobididi,Land Development,2006-06-30 00:00:00,10 km S of Steelpoort,Limpopo,134.0,,,7.0,4.0,,Greater Tubatse,,Sekhukhune,NP03a6,,,
Bodutlulwane,Post Office,2001-10-29 00:00:00,70 km SE of Polokwane,Limpopo,73.0,,347.0,7.0,4.0,,Greater Tubatse,,Sekhukhune,NP03a6,,,
Boetse,Post Office,2001-08-14 00:00:00,40 km SW of Polokwane,Limpopo,73.0,,346.0,7.0,4.0,DC35,Polokwane,,Capricorn,NP354,,,
Bojating,Post Office,2001-04-09 00:00:00,81 km NW of Rustenburg,North West,73.0,,265.0,8.0,8.0,DC37,Moses Kotane,,Bojanala,NW375,,,
Bollantlokwe,Post Office,2001-08-14 00:00:00,15 km SW of Moretele,North West,73.0,,446.0,8.0,8.0,DC37,Moretele,,Bojanala,NW371,,,
Bonkolo,Dam,2005-02-25 00:00:00,4 km NE,Limpopo,23.0,Bongolo,,7.0,10.0,,Greater Tubatse,,Sekhukhune,NP03a6,Bongolo,,
Bophuduhutswana,Post Office,2000-09-07 00:00:00,70 km S of Taung,North West,73.0,,431.0,8.0,8.0,DC39,Greater Taung,,Dr Ruth Segomotsi Mompati,NW394,,,
Borolo,Village,2009-09-18 00:00:00,,Mpumalanga,,Wolwekraal,,,,,Dr J S Moroka,,Nkangala,,Change of Name,,
Borwalathoto,Village,2005-04-01 00:00:00,68km N of Senwabarwana,Limpopo,106.0,,,,16.0,,Blouberg Local Municipality,,Capricorn,,,,
Boshoek,Town,2001-04-09 00:00:00,10 km N of Pokeng,North West,111.0,,266.0,8.0,1.0,DC37,Rustenburg,,Bojanala,NW373,,"""On the podium""",
Botjhaba-tsatsi,Post Office,2001-04-09 00:00:00,10 km NE from Botshabelo Complex,Free State,73.0,,191.0,2.0,5.0,Mangaung,Mangaung,,Mangaung,FS172,,,
Brummerspruit,Post Office,2001-08-14 00:00:00,11 km N of Ermelo,Mpumalanga,73.0,,297.0,5.0,2.0,DC30,Msukaligwa,,Gert Sibande,MP302,,,
Buffelspoort,Dam,2005-02-25 00:00:00,,North West,23.0,,,8.0,1.0,DC37,Rustenburg,,Bojanala,NW373,,"""On the podium""",
Buffelspoort,Township,2006-06-30 00:00:00,"35 km E, 2527CD",North West,130.0,,,8.0,1.0,DC37,Rustenburg,,Bojanala,NW373,,"""On the podium""",
Buhlebesizwe,Township,2006-06-30 00:00:00,"15 km East of KwaMhlanga, 2528BD",Mpumalanga,130.0,Vlaklaagte No.2,,5.0,11.0,DC31,Thembisile,,Nkangala,MP315,Vlaklaagte No.2,,
Buqa,Post Office,2001-08-14 00:00:00,74 km NE of Duiwelskloof,Limpopo,73.0,,342.0,7.0,7.0,DC35,Molemole,,Capricorn,NP353,,,
Caledon Nature Reserve,Nature Reserve,2001-05-31 00:00:00,,Western Cape,62.0,,15.0,9.0,16.0,DC3,Theewaterskloof,,Overberg,WC031,,,
Camphers Drift,Urban Area,2000-05-31 00:00:00,,Western Cape,114.0,,19.0,9.0,16.0,DC4,George,,Garden Route,WC044,,,
Carousel View,Post Office,2000-03-14 00:00:00,10 km N of Hammanksraal,North West,73.0,,446.0,8.0,2.0,DC37,Moretele,,Bojanala,NW371,,,
Cecilia Makhiwane Hospital,Hospital,2005-05-27 00:00:00,In the centre of Mdantsane,Eastern Cape,123.0,,,1.0,10.0,DC12,Buffalo City,,Buffalo City,EC125,,,
Cementation Dam,Dam,2000-05-31 00:00:00,,Western Cape,23.0,,31.0,9.0,16.0,DC2,Breede Valley,,Cape Winelands,WC025,,,
